Arrayu,Description
GSM972736,T0_Control.rep1
GSM972737,T24_Control.rep1
GSM972738,T24_CD3.rep1
GSM972739,T24_CD3CD28.rep1
GSM972740,T0_Control.rep2
GSM972741,T24_Control.rep2
GSM972742,T24_CD3.rep2
GSM972743,T24_CD3CD28.rep2
GSM972744,T0_Control.rep3
GSM972745,T24_Control.rep3
GSM972746,T24_CD3.rep3
GSM972747,T24_CD3CD28.rep3
GSM972748,T4_Control.rep1
GSM972749,T4_CD3.rep1
GSM972750,T4_CD3CD28.rep1
GSM972751,T4_Control.rep2
GSM972752,T4_CD3.rep2
GSM972753,T4_CD3CD28.rep2
GSM972754,T4_Control.rep3
GSM972755,T4_CD3.rep3
GSM972756,T4_CD3CD28.rep3
